timestamp,amount,category,distance_from_home,merchant,region,is_fraud
2025-11-26 04:11:35.809892,209.14,online,1.11,Baker and Sons,US,0
2025-10-28 13:19:35.809892,957.82,travel,3.61,"Hoffman, Baker and Richards",US,0
2025-10-30 06:39:35.809892,59.42,gas,461.9290058527576,"Ross, Robinson and Bright",US,1
2025-11-06 08:21:35.809892,24.57,dining,0.24,"Snyder, Campos and Callahan",US,0
2025-11-18 02:57:35.809892,936.16,online,4.68,Burton Ltd,US,0
2025-11-15 07:22:35.809892,34.72,gas,0.93,Carlson-Cruz,US,0
2025-10-30 08:33:35.809892,63.63,online,0.34,"Ferrell, Rice and Maddox",US,0
2025-11-21 00:07:35.809892,123.08,dining,14.87,Frazier Inc,US,0
2025-10-31 00:41:35.809892,108.07,retail,16.85,"Dyer, Potter and Mack",US,0
2025-10-28 06:28:35.809892,286.03,travel,8.26,Rodriguez-Graham,US,0
2025-11-14 20:23:35.809892,38.32,gas,1.82,Smith-Bowen,US,0
2025-11-17 07:20:35.809892,48.95,gas,0.51,"Baker, Mason and White",US,0
2025-11-18 17:55:35.809892,957.74,online,5.76,Harrell LLC,US,0
2025-10-30 08:55:35.809892,44.39,dining,2.9,"Romero, Gonzalez and Brooks",US,0
2025-11-20 18:28:35.809892,29.03,grocery,0.65,Ryan PLC,US,0
2025-11-07 07:15:35.809892,252.21,travel,3.42,George Group,US,0
2025-11-15 16:15:35.809892,567.81,travel,0.17,Rodriguez LLC,US,0
2025-11-10 21:31:35.809892,1093.29,travel,12.0,Allen-Allen,US,0
2025-10-30 21:35:35.809892,82.82,retail,133.3086659887567,"Arroyo, Miller and Tucker",US,0
2025-11-08 16:01:35.809892,1992.58,travel,5.43,Spence PLC,US,0
2025-11-03 18:39:35.809892,133.92,dining,1.87,Anderson Group,US,0
2025-11-26 08:39:35.809892,1436.73,travel,3.67,"Martin, Rose and Obrien",US,0
2025-11-02 17:01:35.809892,818.93,online,3.96,Hickman Ltd,US,0
2025-11-06 04:24:35.809892,153.64,grocery,1.02,"Harris, Collins and Carney",US,0
2025-11-08 00:38:35.809892,64.37,gas,17.46,"Brooks, Lam and Hayes",US,0
2025-10-27 18:13:35.809892,36.61,grocery,7.46,Walker LLC,US,0
2025-11-21 16:55:35.809892,61.86,gas,14.03,Chapman and Sons,US,0
2025-11-03 09:09:35.809892,118.37,travel,11.26,"Robinson, Jones and Welch",US,0
2025-11-10 15:03:35.809892,93.64,dining,4.56,Jones Inc,US,0
2025-11-01 06:37:35.809892,181.81,grocery,12.75,Jones-Young,US,0
2025-11-03 15:09:35.809892,1779.86,travel,0.46,"Washington, Ryan and Cummings",US,0
2025-11-15 08:41:35.809892,73.23,gas,153.67160491591477,"Johnston, Sanchez and Kennedy",US,0
2025-11-07 21:24:35.809892,120.62,dining,0.23,Lee-Davis,US,0
2025-11-06 17:18:35.809892,117.01,online,1.97,Gomez-Jenkins,US,0
2025-11-06 17:50:35.809892,187.84,retail,57.22336189898756,"Brown, Valdez and Lucas",US,0
2025-11-12 13:53:35.809892,52.61,dining,1.58,Powell LLC,US,0
2025-10-28 20:29:35.809892,346.17,retail,8.82,Wright and Sons,US,0
2025-11-01 12:45:35.809892,39.11,dining,2.21,"West, Henderson and Ramirez",US,0
2025-11-19 20:57:35.809892,113.35,dining,1.65,Baxter Inc,US,0
2025-11-21 02:28:35.809892,3061.778881190366,travel,477.02840417889905,Morton-Chase,US,1
2025-11-11 15:00:35.809892,673.92,online,0.76,Williams PLC,US,0
2025-11-10 16:10:35.809892,849.54,online,8.1,Novak and Sons,US,0
2025-11-15 17:35:35.809892,69.32,dining,0.39,Russell Group,US,0
2025-11-10 07:04:35.809892,345.11,retail,21.67,Hancock Inc,US,0
2025-11-24 04:59:35.809892,74.7,grocery,7.4,Gray Group,US,0
2025-11-04 07:41:35.809892,232.06,retail,1.11,House-Glover,US,0
2025-11-07 06:53:35.809892,84.59,dining,0.03,Henderson-Bernard,US,0
2025-11-18 05:19:35.809892,70.33,gas,8.45,"Stanley, Tucker and Lee",US,0
2025-11-14 01:45:35.809892,101.97,grocery,6.14,Novak PLC,US,0
2025-11-01 10:46:35.809892,37.38,gas,6.53,"Daniels, Adkins and Brown",US,0
2025-10-29 21:12:35.809892,38.79,gas,7.38,"Woods, Calhoun and Schmidt",US,0
2025-11-22 00:50:35.809892,102.16,grocery,0.38,Yu Inc,US,0
2025-11-21 12:46:35.809892,314.07,retail,2.22,Jones Inc,US,0
2025-11-07 20:24:35.809892,67.18,gas,0.62,"Hensley, Powell and David",US,0
2025-11-09 02:17:35.809892,118.38,dining,9.94,"Sanchez, Wheeler and Harvey",US,0
2025-11-21 04:20:35.809892,292.87,online,4.88,Sandoval-Cunningham,US,0
2025-10-30 12:30:35.809892,41.56,gas,2.01,Donovan-Harris,US,0
2025-11-15 17:15:35.809892,88.25,dining,0.33,"Edwards, Baker and Anderson",US,0
2025-11-22 19:09:35.809892,1897.52,travel,54.513237612796885,"Evans, Stewart and Walton",US,1
2025-11-15 16:01:35.809892,55.31,dining,1.97,Smith PLC,US,0
2025-11-06 14:01:35.809892,550.67,online,6.54,"Ferrell, Jones and Lewis",US,0
2025-11-14 23:58:35.809892,33.93,retail,5.07,Anderson-Bailey,US,0
2025-11-14 12:43:35.809892,461.38,retail,10.91,Suarez LLC,US,0
2025-11-17 14:38:35.809892,36.83,online,3.2,Moore-Bass,US,0
2025-11-13 20:27:35.809892,66.18,dining,0.64,"Turner, Riggs and Roman",US,0
2025-11-12 12:36:35.809892,510.4999004141709,retail,6.25,"Smith, Montoya and Evans",US,0
2025-11-07 20:26:35.809892,160.62,grocery,7.15,"Garcia, Humphrey and Baker",US,0
2025-11-01 19:17:35.809892,131.84,grocery,4.12,Newton and Sons,US,0
2025-11-24 04:08:35.809892,53.25,gas,7.37,Campbell-Clark,US,0
2025-11-10 18:05:35.809892,721.17,online,3.4,Harris-Walters,US,0
2025-11-13 16:17:35.809892,187.2,grocery,3.7,Wagner-King,US,0
2025-11-07 15:36:35.809892,206.35,online,2.79,Davis Group,US,0
2025-11-22 08:29:35.809892,129.79,dining,0.13,Williams-Cook,US,0
2025-11-26 01:38:35.809892,86.92,dining,0.57,Walsh LLC,US,0
2025-11-25 12:34:35.809892,414.72,retail,0.16,Figueroa PLC,US,0
2025-11-26 04:49:35.809892,359.51,retail,5.06,"Patterson, Smith and Jones",US,0
2025-11-23 13:29:35.809892,1571.82,travel,1.89,"Mckee, Gardner and Davenport",US,0
2025-11-07 16:42:35.809892,71.54,gas,3.55,"Tran, Jordan and Williams",US,0
2025-11-11 09:21:35.809892,1259.63,travel,11.91,Nolan-Flynn,US,0
2025-11-23 17:30:35.809892,47.74,gas,1.43,Nolan and Sons,US,0
2025-11-07 13:58:35.809892,90.03,dining,2.64,"Wright, Garcia and Deleon",US,0
2025-11-18 22:27:35.809892,286.48,retail,7.04,Dickson-Brady,US,0
2025-11-10 12:48:35.809892,36.75,grocery,1.3,Hancock and Sons,US,0
2025-11-21 15:31:35.809892,78.89,dining,0.4,Johnson-Doyle,US,0
2025-11-05 08:42:35.809892,459.21,online,1.71,Patton-Jenkins,US,0
2025-11-06 10:41:35.809892,540.51,online,0.88,"Shields, Cochran and Adams",US,0
2025-11-09 11:27:35.809892,112.82,dining,13.27,"Rodriguez, Brennan and Garrison",US,0
2025-11-20 21:46:35.809892,44.81,gas,8.25,Gonzalez Group,US,0
2025-11-02 08:16:35.809892,195.37,grocery,5.02,Torres-Pope,US,0
2025-11-12 02:29:35.809892,439.743202627349,retail,83.37952273261003,Walker Ltd,US,1
2025-11-22 20:36:35.809892,74.76,retail,8.14,Ross LLC,US,0
2025-10-31 11:23:35.809892,47.31,grocery,1.03,Rasmussen LLC,US,0
2025-11-24 17:49:35.809892,120.45,grocery,11.15,May-Ross,US,0
2025-11-23 09:10:35.809892,822.72,travel,3.88,"Rivera, Johnson and Wiley",US,0
2025-11-01 02:44:35.809892,91.76,dining,8.24,White-Estes,US,0
2025-11-07 12:20:35.809892,61.28,gas,11.32,Johnson-Carlson,US,0
2025-11-17 23:37:35.809892,48.18,grocery,1.91,Chandler-Edwards,US,0
2025-10-30 20:05:35.809892,44.41,gas,0.58,"Joyce, Wilson and Lam",US,0
2025-11-05 14:25:35.809892,121.36,dining,1.29,Scott Ltd,US,0
2025-11-03 01:42:35.809892,527.14,travel,2.79,Smith-Frost,US,0
2025-11-09 17:35:35.809892,69.63,gas,8.52,"Mcdaniel, Bentley and Mclaughlin",US,0
2025-11-19 08:59:35.809892,350.57,retail,9.86,Diaz Inc,US,0
2025-11-07 23:49:35.809892,308.06887600440973,retail,153.04598707482214,"Mccall, Hanson and Alvarado",US,1
2025-11-08 20:43:35.809892,837.6,online,3.57,Cortez LLC,US,0
2025-11-04 20:35:35.809892,53.53,gas,2.7,"Parker, Ortiz and Powell",US,0
2025-11-12 10:24:35.809892,324.7,retail,1.26,Spencer-Lee,US,0
2025-11-19 03:32:35.809892,105.47,dining,0.64,"Bentley, Byrd and Orr",US,0
2025-11-10 21:53:35.809892,410.51,retail,2.06,"Carroll, Sullivan and Bass",US,0
2025-10-27 15:36:35.809892,194.63,grocery,14.32,Mitchell-Jordan,US,0
2025-11-24 22:25:35.809892,977.76,travel,1.95,"Lawson, Morris and Ramos",US,0
2025-11-02 13:27:35.809892,447.62,online,3.66,"Lewis, Kennedy and Santana",US,0
2025-11-25 06:30:35.809892,442.81,retail,6.07,"Jackson, Miller and Robertson",US,0
2025-11-06 19:46:35.809892,211.13793033184712,gas,2.26,"Harvey, Davis and Crane",US,0
2025-11-19 06:42:35.809892,103.06,grocery,17.84,Chambers and Sons,US,0
2025-11-18 02:08:35.809892,83.7,dining,16.41,Hernandez Inc,US,0
2025-11-02 19:27:35.809892,374.82,travel,1.45,Riggs PLC,US,0
2025-11-19 16:56:35.809892,119.31,dining,3.44,Gibson Ltd,US,0
2025-11-18 21:10:35.809892,70.91,grocery,1.79,"Lee, Horton and Snyder",US,0
2025-11-21 07:55:35.809892,278.52,retail,1.68,Hernandez Ltd,US,0
2025-11-14 00:39:35.809892,132.4,dining,0.19,Stafford Inc,US,0
2025-11-13 22:45:35.809892,40.95,retail,4.7,Robinson-Brock,US,0
2025-10-29 06:47:35.809892,794.47,online,3.49,"Holmes, Williams and Wright",US,0
2025-11-01 03:15:35.809892,730.79,travel,0.26,Bryant Group,US,0
2025-11-03 14:57:35.809892,27.37,retail,1.63,"Schmidt, Hansen and Stewart",US,0
2025-11-11 13:13:35.809892,60.71,dining,11.94,Salazar-Ball,US,0
2025-11-18 19:19:35.809892,822.02,travel,1.37,"Simmons, Meadows and Griffin",US,0
2025-11-09 16:14:35.809892,131.14,grocery,0.78,Manning Group,US,0
2025-11-01 04:07:35.809892,99.48,online,3.36,Green-Wright,US,0
2025-11-12 21:53:35.809892,1039.8020188613905,online,136.7264080647293,"Ramirez, Strickland and Washington",US,1
2025-11-04 13:34:35.809892,882.9,travel,1.39,Hill Inc,US,0
2025-11-03 02:40:35.809892,317.46,retail,5.58,"Mitchell, Nelson and Flores",US,0
2025-11-09 16:31:35.809892,1153.9698149331468,online,7.17,"Miller, Hernandez and Reyes",US,0
2025-11-10 05:06:35.809892,33.69,gas,1.36,Mccarthy Inc,US,0
2025-11-14 02:32:35.809892,351.35,retail,6.51,Russell-Daniels,US,0
2025-11-10 00:49:35.809892,62.7,grocery,171.6967610687119,Brown-Wall,US,0
2025-10-29 19:55:35.809892,151.75,retail,5.0,Stein-Silva,US,0
2025-11-07 01:42:35.809892,501.76,online,5.02,"Smith, Gilmore and Johnston",US,0
2025-11-26 14:21:35.809892,44.57,dining,3.84,Smith-Bell,US,0
2025-11-10 15:47:35.809892,61.41,gas,0.47,Castaneda-Ashley,US,0
2025-11-10 00:41:35.809892,124.32,grocery,9.02,Medina-Navarro,US,0
2025-11-13 05:57:35.809892,104.31,retail,1.93,"Hurst, Freeman and Nelson",US,0
2025-11-18 12:39:35.809892,127.11,dining,1.03,Johnson-Rogers,US,0
2025-10-31 00:35:35.809892,115.79,dining,0.21,"Yates, Ramsey and Pittman",US,0
2025-11-21 23:05:35.809892,73.01,gas,4.47,Hooper PLC,US,0
2025-11-08 12:42:35.809892,26.68,retail,5.66,Meadows PLC,US,0
2025-10-28 17:41:35.809892,940.89,online,0.08,"Alvarado, Miller and Patterson",US,0
2025-11-25 12:22:35.809892,723.21,travel,3.59,White-Green,US,0
2025-10-29 06:59:35.809892,309.17,online,1.28,Lewis-Murphy,US,0
2025-11-14 06:51:35.809892,75.74,retail,5.18,Ramirez-Bean,US,0
2025-11-23 07:52:35.809892,949.89,online,0.96,King-Miller,US,0
2025-11-24 14:48:35.809892,74.27,gas,5.87,Curry Inc,US,0
2025-11-07 08:14:35.809892,19.42,dining,2.44,Walker-Jones,US,0
2025-11-25 22:40:35.809892,196.57,grocery,13.8,"Williams, Johnson and Wright",US,0
2025-11-17 07:01:35.809892,152.42,retail,0.74,Howell and Sons,US,0
2025-11-11 18:37:35.809892,62.09,gas,2.09,Wells Inc,US,0
2025-11-21 19:41:35.809892,69.35,gas,0.6,"Gould, Marshall and Scott",US,0
2025-11-23 17:19:35.809892,70.65,gas,187.44310274843176,Jackson-Lawson,US,0
2025-11-01 14:25:35.809892,79.38,gas,10.49,"Higgins, Strickland and Martin",US,0
2025-11-23 09:32:35.809892,43.72,grocery,1.49,Rodriguez-Johnson,US,0
2025-11-01 18:29:35.809892,43.27,gas,5.39,Johnston-Odonnell,US,0
2025-11-17 04:03:35.809892,235.17,retail,8.5,Sanders-Espinoza,US,0
2025-11-20 07:54:35.809892,182.39,travel,4.05,Vargas Ltd,US,0
2025-11-14 21:01:35.809892,964.39,online,3.77,Garcia LLC,US,0
2025-10-31 06:35:35.809892,108.25,grocery,1.38,"Burke, Martinez and Riggs",US,0
2025-11-21 13:18:35.809892,33.28,gas,0.49,Reed Group,US,0
2025-11-24 03:38:35.809892,497.42,retail,11.38,"Wood, Hunter and Peterson",US,0
2025-11-21 16:33:35.809892,123.27,online,11.53,Short-Garcia,US,0
2025-11-17 05:41:35.809892,51.5,gas,5.01,Reid-Poole,US,0
2025-11-13 15:11:35.809892,104.13,online,2.07,"Hernandez, Thompson and Boyd",US,0
2025-10-31 20:10:35.809892,923.76,online,2.15,"Nelson, Morton and Medina",US,0
2025-11-23 06:55:35.809892,741.41,online,6.47,Marshall-Petersen,US,0
2025-11-15 20:18:35.809892,726.33,travel,11.37,"Adams, Christian and Rivas",US,0
2025-11-01 07:30:35.809892,60.93,online,10.91,Ramirez Group,US,0
2025-11-12 12:46:35.809892,37.74,gas,7.57,Christensen PLC,US,0
2025-11-16 03:03:35.809892,30.51,dining,5.14,"Barnett, Rogers and Snyder",US,0
2025-11-26 12:52:35.809892,1265.79,travel,0.44,White-Lewis,US,0
2025-11-12 01:31:35.809892,18.91,dining,0.88,Peterson-Beard,US,0
2025-11-03 01:18:35.809892,73.49,gas,11.44,"Beard, Peters and Black",US,0
2025-11-17 05:51:35.809892,36.52,grocery,4.66,Miller Ltd,US,0
2025-11-23 17:35:35.809892,57.07,dining,0.05,Freeman-Chang,US,0
2025-10-31 07:27:35.809892,48.0,grocery,0.53,"Alvarez, Joseph and West",US,0
2025-11-06 09:48:35.809892,429.77,online,5.45,Davis and Sons,US,0
2025-11-23 14:12:35.809892,82.13,grocery,0.03,Holt-Torres,US,0
2025-10-30 02:11:35.809892,315.34,online,75.1354851633186,"Wood, Tran and Cooper",US,0
2025-11-02 01:24:35.809892,68.37,gas,158.44254221735818,"Pierce, Bell and Chavez",US,0
2025-11-22 00:37:35.809892,36.46,gas,5.89,King-Martinez,US,0
2025-10-28 10:49:35.809892,24.73,dining,5.28,Stewart Ltd,US,0
2025-11-25 17:33:35.809892,175.18,grocery,1.27,"Tapia, Vaughn and Lee",US,0
2025-11-24 17:30:35.809892,92.91,grocery,6.23,"Washington, Hardy and Bray",US,0
2025-11-07 16:06:35.809892,920.57,online,1.35,"Carlson, Hooper and Wall",US,0
2025-11-12 01:11:35.809892,271.5,retail,1.97,Perez-White,US,0
2025-11-05 10:08:35.809892,33.82,gas,6.86,Erickson and Sons,US,0
2025-11-03 07:40:35.809892,62.4,dining,5.24,Williams-Brown,US,0
2025-11-26 10:20:35.809892,42.8,gas,9.46,Terry-Martinez,US,0
2025-11-17 00:40:35.809892,499.18,online,5.36,Garcia-Smith,US,0
2025-11-25 03:26:35.809892,1321.68,travel,4.2,Harrison-Alexander,US,0
2025-11-09 02:22:35.809892,52.78,retail,0.49,Sheppard LLC,US,0
2025-10-30 04:29:35.809892,83.49,dining,2.29,Wilson-Jones,US,0
2025-11-24 14:06:35.809892,25.36,dining,1.54,Jones-Soto,US,0
2025-10-29 11:09:35.809892,242.1,retail,1.4,Hernandez PLC,US,0
2025-11-03 11:07:35.809892,1338.49,travel,18.06,Miller-Wright,US,0
2025-10-31 10:27:35.809892,69.68,retail,2.5,"Duran, Obrien and Gibbs",US,0
2025-11-20 10:46:35.809892,31.96,gas,11.13,Rowe Group,US,0
2025-11-11 23:56:35.809892,48.19,gas,4.99,Kerr-Evans,US,0
2025-10-31 21:34:35.809892,162.06,grocery,7.92,"Branch, Torres and Oliver",US,0
2025-11-24 00:39:35.809892,156.39,retail,3.49,"Choi, Garcia and Farmer",US,0
2025-11-10 17:12:35.809892,26.0,dining,4.3,"Clark, Guerrero and Moore",US,0
2025-10-31 10:53:35.809892,665.51,online,3.39,Arnold and Sons,US,0
2025-11-20 13:18:35.809892,328.88,retail,1.09,Ortiz Ltd,US,0
2025-11-04 19:14:35.809892,429.17,online,6.41,"Harrison, Johnson and Roberts",US,0
2025-11-02 20:36:35.809892,142.94,dining,1.65,Warner-Gibson,US,0
2025-11-20 13:27:35.809892,129.0,dining,80.73758695357068,"Hall, Baker and Moody",US,0
2025-11-25 00:43:35.809892,348.99,travel,5.18,"Guerrero, Peck and Coleman",US,0
2025-11-16 19:32:35.809892,530.9308072742723,gas,389.5460243001687,"Walker, Hernandez and Baker",US,1
2025-11-17 22:38:35.809892,132.32,retail,14.11,Jones and Sons,US,0
2025-11-17 14:37:35.809892,48.39,gas,15.39,Larson-Holloway,US,0
2025-11-05 16:28:35.809892,261.4,retail,12.32,Gonzales-Harrison,US,0
2025-11-13 11:48:35.809892,73.65,gas,2.31,Lyons-Bender,US,0
2025-10-31 09:57:35.809892,148.05,grocery,0.08,"Fernandez, Kim and George",US,0
2025-10-31 18:31:35.809892,75.66,dining,13.18,Navarro-Munoz,US,0
2025-11-15 11:31:35.809892,70.84,gas,2.79,Davis Ltd,US,0
2025-11-06 19:36:35.809892,810.53,travel,204.54866285499156,"Matthews, Smith and Hubbard",US,0
2025-11-09 15:41:35.809892,653.46,online,16.57,Johnston-Hines,US,0
2025-11-17 00:20:35.809892,354.11,retail,9.59,Ruiz Ltd,US,0
2025-11-24 07:24:35.809892,23.42,grocery,1.74,Moon-White,US,0
2025-11-07 10:47:35.809892,159.71,grocery,2.43,"Graham, Olsen and Costa",US,0
2025-11-23 18:08:35.809892,968.52,travel,9.52,Bailey-Cook,US,0
2025-11-16 03:11:35.809892,520.22,online,85.41688713268609,"Garcia, Martin and Jenkins",US,0
2025-11-13 00:13:35.809892,891.48,travel,0.93,Roberts-Landry,US,0
2025-10-28 12:33:35.809892,1133.76,travel,4.07,"Johnson, Miller and King",US,0
2025-10-28 08:05:35.809892,40.9,retail,13.76,Cordova Group,US,0
2025-11-23 01:56:35.809892,82.06,grocery,5.95,"Bryan, Smith and Booth",US,0
2025-11-25 20:27:35.809892,33.01,dining,4.22,Gutierrez-Lopez,US,0
2025-11-02 17:38:35.809892,469.98,online,0.51,Dean-Jimenez,US,0
2025-10-29 12:07:35.809892,37.75,retail,4.77,Wolf-Harris,US,0
2025-11-08 03:02:35.809892,84.58,dining,159.49208978413506,"Anderson, Roberts and Gilmore",US,0
2025-11-11 16:54:35.809892,63.19,dining,0.75,Martinez-Dudley,US,0
2025-11-14 04:40:35.809892,73.99,dining,3.65,"Lloyd, Mckinney and Collins",US,0
2025-11-20 05:32:35.809892,54.81,gas,10.49,Tran Inc,US,0
2025-11-04 19:27:35.809892,150.87,grocery,6.75,Gay Inc,US,0
2025-11-16 21:24:35.809892,28.85,dining,5.97,Valentine-Holland,US,0
2025-11-12 15:26:35.809892,99.99,retail,6.06,Jimenez Ltd,US,0
2025-10-31 00:18:35.809892,151.79,retail,2.23,Hicks-Hill,US,0
2025-10-29 00:21:35.809892,194.39,retail,1.74,Baird-Sanchez,US,0
2025-11-07 08:07:35.809892,1388.37,travel,8.29,"Thomas, Lee and Greene",US,0
2025-11-03 13:56:35.809892,63.89,dining,8.31,"Suarez, Shields and Hill",US,0
2025-11-20 16:39:35.809892,65.22,dining,10.09,Morgan-French,US,0
2025-11-05 01:33:35.809892,102.69,dining,12.22,Hoover-Campbell,US,0
2025-11-16 21:47:35.809892,458.5,retail,3.58,Monroe-Carpenter,US,0
2025-11-02 04:18:35.809892,642.6,travel,3.48,"Burns, Hernandez and Ryan",US,0
2025-10-31 14:14:35.809892,101.37,grocery,8.0,Cook-Hines,US,0
2025-11-09 19:30:35.809892,105.16,dining,5.25,Gibson-Morris,US,0
2025-11-13 01:11:35.809892,65.59,gas,6.05,Pollard and Sons,US,0
2025-11-19 01:57:35.809892,197.32,grocery,127.66385870672711,"Reyes, Chase and Jenkins",US,0
2025-10-31 12:31:35.809892,78.1,dining,11.04,Garner-Thornton,US,0
2025-11-15 05:33:35.809892,499.81,retail,2.06,Hughes-Alvarado,US,0
2025-11-17 19:09:35.809892,42.56,grocery,2.35,"Pollard, Simpson and Johnson",US,0
2025-11-23 08:22:35.809892,32.33,dining,0.49,"Sanford, Rivera and Garcia",US,0
2025-11-02 05:58:35.809892,51.63,gas,4.32,Garcia-Lozano,US,0
2025-11-12 08:17:35.809892,37.23,dining,0.18,Bowen Group,US,0
2025-11-25 12:00:35.809892,1800.36,travel,3.13,"Booker, Jones and Harrington",US,0
2025-11-19 11:17:35.809892,31.9,dining,3.91,Morgan-Schwartz,US,0
2025-11-24 03:19:35.809892,1889.05,travel,1.69,"Miller, Murphy and Craig",US,0
2025-11-25 18:59:35.809892,178.27,travel,4.47,"James, Stewart and Higgins",US,0
2025-11-25 16:17:35.809892,102.9,dining,180.1694386608118,Brennan-Johnson,US,0
2025-11-15 01:54:35.809892,650.38,travel,0.19,Young Ltd,US,0
2025-11-17 17:38:35.809892,143.95,grocery,8.65,Bright-Francis,US,0
2025-11-12 07:35:35.809892,372.97,travel,2.23,Good-Hodges,US,0
2025-11-07 14:23:35.809892,68.03,gas,0.68,"Brennan, Wallace and Benson",US,0
2025-11-14 01:56:35.809892,75.7,dining,3.69,Williams Inc,US,0
2025-11-11 11:59:35.809892,139.17,retail,7.35,Howard-Jordan,US,0
2025-11-20 00:34:35.809892,319.59,online,1.22,Schmidt PLC,US,0
2025-11-17 09:46:35.809892,82.14,dining,4.88,"Sparks, Jackson and Miller",US,0
2025-11-26 08:58:35.809892,424.996299764709,gas,179.0367716484579,Harvey-Allen,US,1
2025-11-13 05:52:35.809892,172.49,grocery,0.27,"Thomas, Murray and King",US,0
2025-11-13 02:19:35.809892,21.11,dining,3.79,Estrada-Nolan,US,0
2025-11-24 23:05:35.809892,89.54,grocery,3.89,Santana-Byrd,US,0
2025-11-12 00:43:35.809892,43.16,grocery,5.07,Jones LLC,US,0
2025-11-19 08:34:35.809892,116.92,dining,33.474513924319645,"Evans, Hayden and Vaughn",US,0
2025-11-24 04:32:35.809892,339.71,online,18.62,Bruce-Gonzalez,US,0
2025-11-24 15:43:35.809892,46.4,gas,3.63,Castaneda-Rodriguez,US,0
2025-11-18 21:23:35.809892,95.15,dining,1.95,Armstrong-Andrews,US,0
2025-11-15 13:19:35.809892,298.0257335226098,dining,416.46966626856624,"Phillips, Spence and Barrett",US,1
2025-11-08 16:22:35.809892,873.38,online,1.58,Smith-Grimes,US,0
2025-11-04 08:35:35.809892,1197.51,travel,2.89,"Beltran, Lozano and Mcgee",US,0
2025-11-07 14:53:35.809892,623.54,online,191.08693074117423,Parsons-Hall,US,0
2025-11-15 09:24:35.809892,54.34,grocery,0.13,Robinson-Lee,US,0
2025-10-30 10:22:35.809892,260.87,retail,16.44,Byrd-Le,US,0
2025-11-20 12:18:35.809892,493.95,travel,9.04,"Becker, Taylor and Davis",US,0
2025-11-25 21:00:35.809892,52.98,gas,5.95,"Lucas, Parker and Alexander",US,0
2025-11-21 23:55:35.809892,97.36,dining,2.63,"Diaz, Anderson and Browning",US,0
2025-11-18 20:28:35.809892,119.11,dining,0.95,Burgess-Thompson,US,0
2025-11-09 16:41:35.809892,90.67,dining,0.85,Buchanan LLC,US,0
2025-11-12 07:19:35.809892,547.76,online,1.44,"Shaw, Nelson and Martin",US,0
2025-11-12 08:40:35.809892,44.52,gas,3.98,Coffey-Phillips,US,0
2025-11-21 02:37:35.809892,263.88,online,6.27,Brock-Mcdonald,US,0
2025-11-23 07:19:35.809892,1422.73,travel,5.4,Taylor and Sons,US,0
2025-10-29 23:41:35.809892,140.57,grocery,1.64,"Ramsey, Whitney and Coffey",US,0
2025-10-27 20:00:35.809892,111.84,dining,15.49,"Diaz, Gibbs and Smith",US,0
2025-11-18 07:51:35.809892,50.35,gas,6.7,"Martinez, Richardson and Curry",US,0
2025-10-31 16:03:35.809892,58.36,dining,4.04,Richards-Carson,US,0
2025-11-04 13:34:35.809892,56.76,gas,4.73,Rodriguez-Hall,US,0
